,CAR MAKE,CAR MAKE LOCATION,CAR MODEL(Full Name),CAR MODEL(Short Name),CAR MODEL LOCATION,CAR TYPE,COLLECT,ADDED,BUYOUT NUM
341,FORD,"(0, 9)",2021 FORD MUSTANG MACH-E 1400,FORD MACH-E 1400,44.0,TRACK TOYS,ACCOLADE,SERIES 6,0
342,FORD,"(0, 9)",2022 FORD BRONCO RAPTOR,NOT FOUND,,PICKUPS & 4X4S,SEASONAL,SERIES 26,0
343,FORD,"(0, 9)",2022 FORD F-150 LIGHTNING PLATINUM,NOT FOUND,,PICKUPS & 4X4S,AUTOSHOW DLC,RALLY ADVENTURE,0
344,FORD,"(0, 9)",2022 FORD FOCUS ST,FORD FOCUS '22,37.0,SUPER HOT HATCH,SEASONAL,SERIES 37,0
345,FORD,"(0, 9)",2022 FORD SUPERVAN 4,FORD SUPERVAN 4,,EXTREME TRACK TOYS,AUTOSHOW DLC,ACCELERATION CAR PACK,0
346,FORD,"(0, 9)",2023 FORD F-150 RAPTOR R,NOT FOUND,,PICKUPS & 4X4S,SEASONAL,SERIES 32,0
347,FORD,"(0, 9)",2023 FORD FIESTA ST,FORD FIESTA '23,31.0,HOT HATCH,SEASONAL,SERIES 37,0
348,FORD,"(0, 9)",2024 FORD MUSTANG DARK HORSE,FORD DARK HORSE,22.0,MODERN MUSCLE,SEASONAL,SERIES 35,0
349,FORD,"(0, 9)",2024 FORD MUSTANG GT,FORD MUSTANG '24,49.0,MODERN MUSCLE,SEASONAL,SERIES 32,0
350,FORMULA DRIFT,"(1, 9)",1989 FORMULA DRIFT #98 BMW 325I,#98 BMW 325I,,DRIFT CARS,"AUTOSHOW, WHEELSPIN",,0
351,FORMULA DRIFT,"(1, 9)",1995 FORMULA DRIFT #34 TOYOTA SUPRA MKIV,#34 TOYOTA SUPRA,3.0,DRIFT CARS,AUTOSHOW DLC,FORMULA DRIFT PACK,0
352,FORMULA DRIFT,"(1, 9)",1996 FORMULA DRIFT #51 DONUT MEDIA NISSAN 240SX,NOT FOUND,,DRIFT CARS,ACCOLADE,SERIES 22,0
353,FORMULA DRIFT,"(1, 9)",1997 FORMULA DRIFT #777 NISSAN 240SX,#777 NISSAN 240,12.0,DRIFT CARS,"AUTOSHOW, WHEELSPIN",,0
354,FORMULA DRIFT,"(1, 9)",2006 FORMULA DRIFT #43 DODGE VIPER SRT10,#43 DODGE VIPER,6.0,DRIFT CARS,"AUTOSHOW, WHEELSPIN",,0
355,FORMULA DRIFT,"(1, 9)",2007 FORMULA DRIFT #117 599 GTB FIORANO,FORMULA D 599,15.0,DRIFT CARS,"AUTOSHOW, WHEELSPIN",,0
356,FORMULA DRIFT,"(1, 9)",2009 FORMULA DRIFT #99 MAZDA RX-8,NOT FOUND,,DRIFT CARS,AUTOSHOW DLC,FORMULA DRIFT PACK,0
357,FORMULA DRIFT,"(1, 9)",2013 FORMULA DRIFT #777 CHEVROLET CORVETTE,#777 CORVETTE,11.0,DRIFT CARS,"AUTOSHOW, WHEELSPIN",,0
358,FORMULA DRIFT,"(1, 9)",2015 FORMULA DRIFT #13 FORD MUSTANG,#13 FORD MUSTANG,1.0,DRIFT CARS,"AUTOSHOW, WHEELSPIN",,0
359,FORMULA DRIFT,"(1, 9)",2016 FORMULA DRIFT #530 HSV MALOO GEN-F,NOT FOUND,,DRIFT CARS,"AUTOSHOW, WHEELSPIN",,0
360,FORMULA DRIFT,"(1, 9)",2017 FORMULA DRIFT #357 CHEVROLET CORVETTE Z06,#357 CORVETTE,4.0,DRIFT CARS,AUTOSHOW DLC,FORMULA DRIFT PACK,0
361,FORMULA DRIFT,"(1, 9)",2018 FORMULA DRIFT #64 NISSAN 370Z,#64 NISSAN 370Z,,DRIFT CARS,"AUTOSHOW, WHEELSPIN",,0
362,FORMULA DRIFT,"(1, 9)",2019 FORMULA DRIFT #411 TOYOTA COROLLA HATCHBACK,NOT FOUND,,DRIFT CARS,AUTOSHOW DLC,FORMULA DRIFT PACK,0
363,FORMULA DRIFT,"(1, 9)",2020 FORMULA DRIFT #151 TOYOTA GR SUPRA,#151 FD SUPRA,,DRIFT CARS,AUTOSHOW DLC,FORMULA DRIFT PACK,0
364,FORMULA DRIFT,"(1, 9)",2020 FORMULA DRIFT #91 BMW M2,#91 BMW M2,,DRIFT CARS,AUTOSHOW DLC,FORMULA DRIFT PACK,0
365,FORMULA DRIFT,"(1, 9)",2023 FORMULA DRIFT #64 FORSBERG RACING NISSAN Z,#64 NISSAN Z,,DRIFT CARS,SEASONAL,SERIES 22,0
366,FORSBERG RACING,"(2, 9)",1975 FORSBERG RACING NISSAN GOLD LEADER DATSUN 280Z,NOT FOUND,,RETRO SPORTS CARS,AUTOSHOW DLC,FORMULA DRIFT PACK,0
367,FORSBERG RACING,"(2, 9)",2010 FORSBERG RACING TOYOTA GUMOUT 2JZ CAMRY STOCK CAR,FR STOCK CAR,4.0,TRACK TOYS,AUTOSHOW DLC,FORMULA DRIFT PACK,0
368,FORSBERG RACING,"(2, 9)",2014 FORSBERG RACING NISSAN 'SAFARIZ' 370Z SAFARI RALLY TRIBUTE,'SAFARIZ' 370Z,,RALLY MONSTERS,AUTOSHOW DLC,CAR PASS,0
369,FORSBERG RACING,"(2, 9)",2021 FORSBERG RACING NISSAN 'ALTIMANIAC',ALTIMANIAC,2.0,DRIFT CARS,AUTOSHOW DLC,HORIZON RACING CAR PACK,0
370,FUNCO MOTORSPORTS,"(3, 9)",2018 FUNCO MOTORSPORTS F9,FUNCO F9,1.0,UNLIMITED BUGGIES,"ACCOLADE, WHEELSPIN",,0
371,GINETTA,"(4, 9)",2019 GINETTA G10 RM,NOT FOUND,,TRACK TOYS,AUTOSHOW DLC,ACCELERATION CAR PACK,0
372,GMC,"(0, 10)",1970 GMC JIMMY,NOT FOUND,,PICKUPS & 4X4S,BARN FIND,,0
373,GMC,"(0, 10)",1983 GMC VANDURA G-1500,NOT FOUND,,VANS & UTILITY,"AUTOSHOW, WHEELSPIN",,0
374,GMC,"(0, 10)",1991 GMC SYCLONE,NOT FOUND,,VANS & UTILITY,SEASONAL,SERIES 22,0
375,GMC,"(0, 10)",1992 GMC TYPHOON,NOT FOUND,,VANS & UTILITY,SEASONAL,SERIES 22,0
376,GMC,"(0, 10)",2022 GMC 'BARBIE MOVIE' HUMMER EV PICKUP,NOT FOUND,,PICKUPS & 4X4S,AUTOSHOW,SERIES 22,0
377,GMC,"(0, 10)",2022 GMC HUMMER EV PICKUP,NOT FOUND,,PICKUPS & 4X4S,SEASONAL,SERIES 21,0
378,GORDON MURRAY AUTOMOTIVE,"(1, 10)",2022 GORDON MURRAY AUTOMOTIVE T.50,GMA T.50,1.0,HYPERCARS,"BACKSTAGE, SEASONAL",SERIES 28,0
379,HDT,"(2, 10)",1985 HDT VK COMMODORE GROUP A,NOT FOUND,,RETRO MUSCLE,SEASONAL,SERIES 11,0
380,HENNESSEY,"(3, 10)",2012 HENNESSEY VENOM GT,"HENNESSEY VENOM, VENOM GT",,HYPERCARS,"AUTOSHOW, WHEELSPIN",,0
381,HENNESSEY,"(3, 10)",2019 HENNESSEY CAMARO EXORCIST,NOT FOUND,,TRACK TOYS,ACCOLADE,SERIES 23,0
382,HENNESSEY,"(3, 10)",2019 HENNESSEY VELOCIRAPTOR 6X6,VELOCIRAPTOR '19,2.0,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
383,HENNESSEY,"(3, 10)",2021 HENNESSEY VENOM F5,"HENNESSEY VENOM, VENOM F5",,HYPERCARS,AUTOSHOW DLC,HOT WHEELS EXPANSION,0
384,HOLDEN,"(4, 10)",1973 HOLDEN HQ MONARO GTS 350,NOT FOUND,,CLASSIC MUSCLE,"AUTOSHOW, WHEELSPIN",,0
385,HOLDEN,"(4, 10)",1974 HOLDEN SANDMAN HQ PANEL VAN,NOT FOUND,,VANS & UTILITY,"AUTOSHOW, WHEELSPIN",,0
386,HOLDEN,"(4, 10)",1977 HOLDEN TORANA A9X,HOLDEN TORANA,3.0,CLASSIC MUSCLE,"AUTOSHOW, WHEELSPIN",,0
387,HONDA,"(0, 11)",1974 HONDA CIVIC RS,NOT FOUND,,RETRO HOT HATCH,AUTOSHOW,,0
388,HONDA,"(0, 11)",1984 HONDA CIVIC CRX MUGEN,HONDA CIVIC '84,7.0,RETRO HOT HATCH,SEASONAL,,0
389,HONDA,"(0, 11)",1991 HONDA CR-X SIR,NOT FOUND,,RETRO HOT HATCH,AUTOSHOW,,0
390,HONDA,"(0, 11)",1992 HONDA NSX-R,NOT FOUND,,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
391,HONDA,"(0, 11)",1994 HONDA PRELUDE SI,NOT FOUND,,RETRO HOT HATCH,AUTOSHOW,,0
392,HONDA,"(0, 11)",1997 HONDA CIVIC TYPE R,HONDA CIVIC '97,8.0,RETRO HOT HATCH,AUTOSHOW,,0
393,HONDA,"(0, 11)",2003 HONDA S2000,HONDA S2000,14.0,MODERN SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
394,HONDA,"(0, 11)",2003 HONDA S2000,HONDA S2000,15.0,MODERN SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
395,HONDA,"(0, 11)",2004 HONDA CIVIC TYPE-R,NOT FOUND,,RETRO HOT HATCH,AUTOSHOW,,0
396,HONDA,"(0, 11)",2005 HONDA NSX-R,HONDA NSX-R '05,10.0,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
397,HONDA,"(0, 11)",2005 HONDA NSX-R GT,NOT FOUND,,RETRO SPORTS CARS,SEASONAL,,0
398,HONDA,"(0, 11)",2007 HONDA CIVIC TYPE-R,HONDA CIVIC '07,3.0,HOT HATCH,AUTOSHOW,,0
399,HONDA,"(0, 11)",2009 HONDA S2000 CR,HONDA S2000 CR,,MODERN SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
400,HONDA,"(0, 11)",2015 HONDA RIDGELINE BAJA TROPHY TRUCK,HONDA TROPHY'S '15,,UNLIMITED OFFROAD,SEASONAL,SERIES 18,0
401,HONDA,"(0, 11)",2016 HONDA CIVIC COUPE,NOT FOUND,,RALLY MONSTERS,SEASONAL,,0
402,HONDA,"(0, 11)",2016 HONDA CIVIC TYPE R,NOT FOUND,,SUPER HOT HATCH,AUTOSHOW,,0
403,HONDA,"(0, 11)",2018 HONDA CIVIC TYPE R,HONDA CIVIC '18,5.0,SUPER HOT HATCH,AUTOSHOW,,0
404,HOONIGAN,"(1, 11)",1955 HOONIGAN CHEVROLET BEL AIR,HOONIGAN BEL AIR,4.0,RODS AND CUSTOMS,"AUTOSHOW, WHEELSPIN",,0
405,HOONIGAN,"(1, 11)",1965 HOONIGAN FORD HOONICORN MUSTANG,HOONICORN,2.0,DRIFT CARS,"AUTOSHOW, WHEELSPIN",,0
406,HOONIGAN,"(1, 11)",1965 HOONIGAN GYMKHANA 10 FORD HOONICORN MUSTANG,HOONICORN V2,3.0,DRIFT CARS,SEASONAL,,0
407,HOONIGAN,"(1, 11)",1972 HOONIGAN CHEVROLET NAPALM NOVA,HOONIGAN NOVA,10.0,CLASSIC MUSCLE,"AUTOSHOW, WHEELSPIN",,0
408,HOONIGAN,"(1, 11)",1973 HOONIGAN VOLKSWAGEN BAJA BEETLE CLASS 5/1600 'SCUMBUG',NOT FOUND,,BUGGIES,AUTOSHOW DLC,RALLY ADVENTURE EXPANSION,0
409,HOONIGAN,"(1, 11)",1977 HOONIGAN GYMKHANA 10 FORD F-150 'HOONITRUCK',HOONIGAN F-150,7.0,DRIFT CARS,"AUTOSHOW, WHEELSPIN",,0
410,HOONIGAN,"(1, 11)",1978 HOONIGAN FORD ESCORT RS1800,HOONIGAN ESCORT,6.0,RALLY MONSTERS,"AUTOSHOW, WHEELSPIN",,0
411,HOONIGAN,"(1, 11)",1986 HOONIGAN FORD RS200 EVOLUTION,HOONIGAN RS200,,RALLY MONSTERS,"AUTOSHOW, WHEELSPIN",,0
412,HOONIGAN,"(1, 11)",1991 HOONIGAN GYMKHANA 10 FORD ESCORT COSWORTH GROUP A,HOONIGAN GROUP A,9.0,RALLY MONSTERS,"AUTOSHOW, WHEELSPIN",,0
413,HOONIGAN,"(1, 11)",1991 HOONIGAN RAUH-WELT BEGRIFF PORSCHE 911 TURBO,HOONIGAN PORSCHE,11.0,RETRO SUPERCARS,"CAR MASTERY, SEASONAL",,0
414,HOONIGAN,"(1, 11)",1992 HOONIGAN MAZDA RX-7 TWERKSTALLION,TWERKSTALLION,14.0,DRIFT CARS,"CAR MASTERY, SEASONAL",,0
415,HOONIGAN,"(1, 11)",1994 HOONIGAN FORD ESCORT RS COSWORTH WRC 'COSSIE V2',HOONIGAN COSSIE,5.0,RALLY MONSTERS,AUTOSHOW,,0
416,HOONIGAN,"(1, 11)",2016 HOONIGAN GYMKHANA 10 FORD FOCUS RS RX,GYMKHANA10 FOCUS,,RALLY MONSTERS,"ACCOLADE, WHEELSPIN",,0
417,HOONIGAN,"(1, 11)",2016 HOONIGAN GYMKHANA 9 FORD FOCUS RS RX,HOONIGAN FOCUS,8.0,RALLY MONSTERS,SEASONAL,SERIES 18,0
418,HOT WHEELS,"(2, 11)",1949 HOT WHEELS FORD F-5 DUALLY CUSTOM HOT ROD,NOT FOUND,,RODS AND CUSTOMS,"WHEELSPIN, SEASONAL",SERIES 9,0
419,HOT WHEELS,"(2, 11)",1957 HOT WHEELS NASH METROPOLITAN CUSTOM,HOT WHEELS METRO,7.0,RODS AND CUSTOMS,"WHEELSPIN, SEASONAL",SERIES 9,0
420,HOT WHEELS,"(2, 11)",1969 HOT WHEELS TWIN MILL,TWIN MILL,11.0,RODS AND CUSTOMS,"WHEELSPIN, SEASONAL",,0
421,HOT WHEELS,"(2, 11)",1970 HOT WHEELS PONTIAC FIREBIRD TRANS AM CUSTOM,NOT FOUND,,TRACK TOYS,SEASONAL,SERIES 23,0
422,HOT WHEELS,"(2, 11)",2000 HOT WHEELS DEORA II,HOT WHEELS DEORA,6.0,RODS AND CUSTOMS,AUTOSHOW DLC,HOT WHEELS EXPANSION,0
423,HOT WHEELS,"(2, 11)",2005 HOT WHEELS FORD MUSTANG,HW FORD MUSTANG,8.0,TRACK TOYS,"WHEELSPIN, SEASONAL",SERIES 9,0
424,HOT WHEELS,"(2, 11)",2011 HOT WHEELS BONE SHAKER,BONE SHAKER,3.0,RODS AND CUSTOMS,AUTOSHOW,,0
425,HOT WHEELS,"(2, 11)",2012 HOT WHEELS BAD TO THE BLADE,HOT WHEELS BTTB,5.0,EXTREME TRACK TOYS,AUTOSHOW DLC,HOT WHEELS EXPANSION,0
426,HOT WHEELS,"(2, 11)",2012 HOT WHEELS RIP ROD,RIP ROD,10.0,UNLIMITED BUGGIES,"WHEELSPIN, SEASONAL",SERIES 9,0
427,HOT WHEELS,"(2, 11)",2013 HOT WHEELS BAJA BONE SHAKER,BAJA BONE SHAKER,2.0,UNLIMITED OFFROAD,AUTOSHOW DLC,HOT WHEELS EXPANSION,0
428,HOT WHEELS,"(2, 11)",2018 HOT WHEELS 2JETZ,2JETZ,1.0,RODS AND CUSTOMS,"WHEELSPIN, SEASONAL",SERIES 9,0
429,HSV,"(3, 11)",2014 HSV GEN-F GTS,NOT FOUND,,MODERN MUSCLE,"AUTOSHOW, WHEELSPIN",,0
430,HSV,"(3, 11)",2014 HSV LIMITED EDITION GEN-F GTS MALOO,NOT FOUND,,VANS & UTILITY,"AUTOSHOW, WHEELSPIN",,0
431,HUMMER,"(4, 11)",2006 HUMMER H1 ALPHA,NOT FOUND,,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
432,HYUNDAI,"(0, 12)",2019 HYUNDAI VELOSTER N,NOT FOUND,,SUPER HOT HATCH,"AUTOSHOW, WHEELSPIN",,0
433,HYUNDAI,"(0, 12)",2020 HYUNDAI I30 N,HYUNDAI I30 N,,SUPER HOT HATCH,SEASONAL,SERIES 30,0
434,HYUNDAI,"(0, 12)",2021 HYUNDAI #98 BRYAN HERTA AUTOSPORT ELANTRA N,NOT FOUND,,TRACK TOYS,SEASONAL,SERIES 33,0
435,HYUNDAI,"(0, 12)",2022 HYUNDAI IONIQ 6,IONIQ 6 '22,,SUPER SALOONS,SEASONAL,SERIES 30,0
436,HYUNDAI,"(0, 12)",2022 HYUNDAI KONA N,NOT FOUND,,SPORTS UTILITY HEROES,SEASONAL,SERIES 30,0
437,HYUNDAI,"(0, 12)",2022 HYUNDAI N VISION 74,N VISION 74 '22,,TRACK TOYS,"BACKSTAGE, SEASONAL",SERIES 34,0
438,HYUNDAI,"(0, 12)",2023 HYUNDAI IONIQ 5 N,IONIQ 5 N '23,4.0,SPORTS UTILITY HEROES,SEASONAL,SERIES 35,0
439,INFINITI,"(1, 12)",2015 INFINITI Q60 CONCEPT,NOT FOUND,,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
440,INTERNATIONAL,"(2, 12)",1970 INTERNATIONAL SCOUT 800A,NOT FOUND,,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
441,ITALDESIGN,"(3, 12)",2018 ITALDESIGN ZEROUNO,ID ZEROUNO '18,2.0,HYPERCARS,AUTOSHOW,,0
442,ITALDESIGN,"(3, 12)",2019 ITALDESIGN DAVINCI CONCEPT,DAVINCI,1.0,GT CARS,AUTOSHOW DLC,ITALIAN EXOTICS CAR PACK,0
443,JAGUAR,"(4, 12)",1953 JAGUAR C-TYPE,JAGUAR C-TYPE,,CLASSIC RACERS,AUTOSHOW,SERIES 28,0
444,JAGUAR,"(4, 12)",1956 JAGUAR D-TYPE,JAGUAR D-TYPE,5.0,CLASSIC RACERS,"AUTOSHOW, WHEELSPIN",,0
445,JAGUAR,"(4, 12)",1959 JAGUAR MK II 3.8,NOT FOUND,,CLASSIC RACERS,"AUTOSHOW, WHEELSPIN",,0
446,JAGUAR,"(4, 12)",1961 JAGUAR E-TYPE,NOT FOUND,,RARE CLASSICS,"AUTOSHOW, WHEELSPIN",,0
447,JAGUAR,"(4, 12)",1964 JAGUAR LIGHTWEIGHT E-TYPE,JAGUAR LW E-TYPE,10.0,CLASSIC RACERS,"AUTOSHOW, WHEELSPIN",,0
448,JAGUAR,"(4, 12)",1966 JAGUAR XJ13,NOT FOUND,,CLASSIC RACERS,AUTOSHOW DLC,CAR PASS,0
449,JAGUAR,"(4, 12)",1991 JAGUAR SPORT XJR-15,JAGUAR XJR-15,,RETRO SUPERCARS,BARN FIND,,0
450,JAGUAR,"(4, 12)",1993 JAGUAR XJ220,JAGUAR XJ220,16.0,RETRO SUPERCARS,"WHEELSPIN, SEASONAL",,0
451,JAGUAR,"(4, 12)",1993 JAGUAR XJ220S TWR,JAGUAR XJ220S,,RETRO SUPERCARS,AUTOSHOW DLC,CAR PASS,0
452,JAGUAR,"(4, 12)",2010 JAGUAR C-X75,JAGUAR C-X75,,MODERN SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
453,JAGUAR,"(4, 12)",2012 JAGUAR XKR-S,NOT FOUND,,GT CARS,"AUTOSHOW, WHEELSPIN",,0
454,JAGUAR,"(4, 12)",2015 JAGUAR F-TYPE R COUPE,NOT FOUND,,GT CARS,"WHEELSPIN, SEASONAL",,0
455,JAGUAR,"(4, 12)",2015 JAGUAR XE-S,NOT FOUND,,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
456,JAGUAR,"(4, 12)",2015 JAGUAR XFR-S,NOT FOUND,,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
457,JAGUAR,"(4, 12)",2015 JAGUAR XKR-S GT,NOT FOUND,,TRACK TOYS,"BACKSTAGE, SEASONAL",SERIES 3,0
458,JAGUAR,"(4, 12)",2016 JAGUAR F-TYPE PROJECT 7,JAGUAR PROJECT 7,12.0,TRACK TOYS,"ACCOLADE, WHEELSPIN",,0
459,JAGUAR,"(4, 12)",2017 JAGUAR F-PACE S,JAGUAR F-PACE S,,SPORTS UTILITY HEROES,"AUTOSHOW, WHEELSPIN",,0
460,JAGUAR,"(4, 12)",2018 JAGUAR I-PACE,JAGUAR I-PACE,,SPORTS UTILITY HEROES,"AUTOSHOW, WHEELSPIN",,0
461,JAGUAR,"(4, 12)",2019 JAGUAR XE SV PROJECT 8,NOT FOUND,,TRACK TOYS,AUTOSHOW DLC,EUROPEAN AUTO CAR PACK,0
462,JAGUAR,"(4, 12)",2020 JAGUAR F-TYPE SVR,JAG F-TYPE SVR,1.0,GT CARS,SEASONAL,SERIES 32,0
463,JEEP,"(0, 13)",1976 JEEP CJ5 RENEGADE,NOT FOUND,,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
464,JEEP,"(0, 13)",2012 JEEP WRANGLER RUBICON,NOT FOUND,,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
465,JEEP,"(0, 13)",2014 JEEP GRAND CHEROKEE SRT,NOT FOUND,,SPORTS UTILITY HEROES,"AUTOSHOW, WHEELSPIN",,0
466,JEEP,"(0, 13)",2016 JEEP TRAILCAT,JEEP TRAILCAT,5.0,UNLIMITED OFFROAD,"AUTOSHOW, WHEELSPIN",,0
467,JEEP,"(0, 13)",2018 JEEP GRAND CHEROKEE TRACKHAWK,JEEP TRACKHAWK,4.0,SPORTS UTILITY HEROES,"AUTOSHOW, WHEELSPIN",,0
468,JEEP,"(0, 13)",2020 JEEP GLADIATOR RUBICON,JEEP GLADIATOR,3.0,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
469,JIMCO,"(1, 13)",2019 JIMCO #240 FASTBALL RACING SPEC TROPHY TRUCK,NOT FOUND,,UNLIMITED OFFROAD,AUTOSHOW DLC,RALLY ADVENTURE EXPANSION,0
470,JIMCO,"(1, 13)",2020 JIMCO #179 HAMMERHEAD CLASS 1,NOT FOUND,,UNLIMITED BUGGIES,AUTOSHOW DLC,RALLY ADVENTURE,0
471,KIA,"(2, 13)",2023 KIA EV6 GT,KIA EV6 GT '23,,SPORTS UTILITY HEROES,SEASONAL,SERIES 35,0
472,KOENIGSEGG,"(3, 13)",2002 KOENIGSEGG CC8S,KOENIGSEGG CC8S,,HYPERCARS,"AUTOSHOW, WHEELSPIN",,0
473,KOENIGSEGG,"(3, 13)",2006 KOENIGSEGG CCX,KOENIGSEGG CCX,5.0,HYPERCARS,"BACKSTAGE, SEASONAL",SERIES 29,0
474,KOENIGSEGG,"(3, 13)",2008 KOENIGSEGG CCGT,KOENIGSEGG CCGT,4.0,EXTREME TRACK TOYS,"WHEELSPIN, SEASONAL",,0
475,KOENIGSEGG,"(3, 13)",2011 KOENIGSEGG AGERA,KOENIGSEGG AGERA,2.0,HYPERCARS,SEASONAL,SERIES 13,0
476,KOENIGSEGG,"(3, 13)",2015 KOENIGSEGG ONE:1,KOENIGSEGG ONE,7.0,HYPERCARS,"AUTOSHOW, WHEELSPIN",,0
477,KOENIGSEGG,"(3, 13)",2016 KOENIGSEGG REGERA,REGERA,8.0,HYPERCARS,"AUTOSHOW, WHEELSPIN",,0
478,KOENIGSEGG,"(3, 13)",2017 KOENIGSEGG AGERA RS,AGERA RS,1.0,HYPERCARS,"AUTOSHOW, WHEELSPIN",,0
479,KOENIGSEGG,"(3, 13)",2020 KOENIGSEGG JESKO,KOENIGSEGG JESKO,6.0,HYPERCARS,"AUTOSHOW, WHEELSPIN",,0
480,KTM,"(4, 13)",2013 KTM X-BOW R,KTM X-BOW,1.0,TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
481,KTM,"(4, 13)",2018 KTM X-BOW GT4,KTM X-BOW GT4,,EXTREME TRACK TOYS,SEASONAL,SERIES 5,0
482,KTM,"(4, 13)",2022 KTM X-BOW GT2,KTM X-BOW GT2,,EXTREME TRACK TOYS,AUTOSHOW DLC,SUPER SPEED CAR PACK,0
483,LAMBORGHINI,"(0, 14)",1967 LAMBORGHINI MIURA P400,LAMBO MIURA,21.0,RARE CLASSICS,"AUTOSHOW, WHEELSPIN",,0
484,LAMBORGHINI,"(0, 14)",1973 LAMBORGHINI ESPADA 400 GT,ESPADA 400GT '73,7.0,RETRO SUPERCARS,AUTOSHOW DLC,CAR PASS,0
485,LAMBORGHINI,"(0, 14)",1986 LAMBORGHINI LM 002,LAMBO LM 002,,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
486,LAMBORGHINI,"(0, 14)",1988 LAMBORGHINI COUNTACH LP5000 QV,LAMBO COUNTACH,15.0,RETRO SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
487,LAMBORGHINI,"(0, 14)",1997 LAMBORGHINI DIABLO SV,LAMBO DIABLO SV,16.0,RETRO SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
488,LAMBORGHINI,"(0, 14)",1999 LAMBORGHINI DIABLO GTR,DIABLO GTR,6.0,EXTREME TRACK TOYS,"CAR MASTERY, SEASONAL",,0
489,LAMBORGHINI,"(0, 14)",2008 LAMBORGHINI REVENTON,LAMBO REVENTÓN,,MODERN SUPERCARS,CAR COLLECTION,,0
490,LAMBORGHINI,"(0, 14)",2010 LAMBORGHINI MURCIELAGO LP 670-4 SV,LAMBO MURCIÉLAGO,,MODERN SUPERCARS,"WHEELSPIN, SEASONAL",,0
491,LAMBORGHINI,"(0, 14)",2011 LAMBORGHINI GALLARDO LP 570-4 SUPERLEGGERA,LAMBO GALLARDO,17.0,MODERN SUPERCARS,ACCOLADE,,0
492,LAMBORGHINI,"(0, 14)",2011 LAMBORGHINI SESTO ELEMENTO,LAMBO SESTO,26.0,EXTREME TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
493,LAMBORGHINI,"(0, 14)",2011 LAMBORGHINI SESTO ELEMENTO FORZA EDITION,LAMBO SESTO FE,27.0,EXTREME TRACK TOYS,"WHEELSPIN, SEASONAL",,0
494,LAMBORGHINI,"(0, 14)",2012 LAMBORGHINI AVENTADOR J,AVENTADOR J,4.0,HYPERCARS,SEASONAL,SERIES 2,0
495,LAMBORGHINI,"(0, 14)",2012 LAMBORGHINI AVENTADOR LP700-4,AVENTADOR '12,2.0,HYPERCARS,"AUTOSHOW, WHEELSPIN",,0
496,LAMBORGHINI,"(0, 14)",2012 LAMBORGHINI GALLARDO LP 570-4 SPYDER PERFORMANTE,GALLARDO SPYDER,8.0,MODERN SUPERCARS,"BACKSTAGE, SEASONAL",SERIES 2,0
497,LAMBORGHINI,"(0, 14)",2013 LAMBORGHINI VENENO,LAMBO VENENO,29.0,HYPERCARS,"AUTOSHOW, WHEELSPIN",,0
498,LAMBORGHINI,"(0, 14)",2014 LAMBORGHINI HURACÁN LP 610-4,LAMBO HURACÁN,,MODERN SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
499,LAMBORGHINI,"(0, 14)",2016 LAMBORGHINI AVENTADOR SUPERVELOCE,AVENTADOR '16,3.0,HYPERCARS,"AUTOSHOW, WHEELSPIN",,0
500,LAMBORGHINI,"(0, 14)",2016 LAMBORGHINI CENTENARIO LP 770-4,LAMBO CENTENARIO,14.0,HYPERCARS,"AUTOSHOW, WHEELSPIN",,0
501,LAMBORGHINI,"(0, 14)",2018 LAMBORGHINI #63 SQUADRA CORSE HURACÁN SUPER TROFEO EVO,NOT FOUND,,EXTREME TRACK TOYS,AUTOSHOW DLC,ITALIAN EXOTICS CAR PACK,0
502,LAMBORGHINI,"(0, 14)",2018 LAMBORGHINI AVENTADOR SVJ,AVENTADOR SVJ,5.0,HYPERCARS,"BACKSTAGE, SEASONAL",SERIES 2,0
503,LAMBORGHINI,"(0, 14)",2018 LAMBORGHINI HURACÁN PERFORMANTE,LAMBO HURACÁN P,,TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
